marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41160454,R2PXG82W5J99Q2,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,0,0,N,Y,Five Stars,Worked out great on a trip up to Pacific Northwest. Protected from rain and dust. Thanks,8/30/2015
US,609625,R22E1DC6KYZBWN,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,2,2,N,N,He has been very satisfied with this gift and found it very useful to ...,"When I was given the chance to get this wrap at a discount. With a promotional deal I was excited as my dad is a photographer and I thought it would be right up his alley! Turns out-I was right! He has been very satisfied with this gift and found it very useful to keep his cameras secure and safe. Light weight and easy to use! Again, although I bought this with a coupon code, it was well worth the selling price! Good product!",8/16/2015
US,12841734,RT5FKK1S2KB85,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,12,13,N,N,Extra Protection for My Camera Without the Bulk ... Love this Product!,"I purchased the Indigo Marble Protective Camera Cover for use with my Nikon D90.  While I have a camera bag, I rarely use it and tend to put my camera in my purse or backpack.  My poor D90 was getting slung around without any kind of protection.  I recently broke the LCD screen protector  inside my purse so when I had the opportunity to purchase and test this product at a reduced price in exchange for a review, I jumped all over it!<br /><br />The product is very straight forward and easy to use.  You simply center your camera on the wrap and fold each corner in, one at a time.  I have a strap on my camera so I just leave it out when I fold it.  I LOVE the layer of protection it affords my camera without having to carry another bag.<br /><br />I've also used this when packing my son's iPad in his backpack (it only has a back cover, not over the screen).  It's proven to be quite versatile!",8/14/2015
US,19459095,R18QT5B0P0H2SQ,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,1,1,N,N,Wonderful for tablets too!,"We just recently got our oldest a kindle. I love that they thought of everything BUT the case.<br /><br />I wanted something that was easy for her to use and was safe to put in our backpack. This was the perfect solution! I know it's meant for cameras (which it is excellent for), but I was so happy with how it worked for our tablet. It is easy enough for our oldest to place in the middle and secure 3 zelcro tabs. It holds it nicely without having to worry about her screen being scratched. It also has a lining in it that seems like it would do well if the outside got a little wet.<br /><br />I'd highly recommend it!<br /><br />I did recieve this at a discount in exchange for my honest review.",8/13/2015
US,40987222,R2XBLP4UDNFT8Z,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,7,8,N,N,Perfect protection,I don't always like to carry around my bulky camera cas. Sometimes when hiking with kids it isn't convenient or just wanting to grab my camera and stick it in my hand ba. This cover makes it much easier to do that without a lot of bulk.<br /><br />I have a nikon with the 50 lens and it packs up nicely. There is a extra padded square on the bottom where the camera is sitting that gives it more protection. I can either wrap my strap around my camera and fold up the case or leave the strap hanging from outside of one corner. When I put it in my purse I prefer to put my strap out as it makes it much easier for me to get the camera out of my bag.<br /><br />I also fly quit regurally so having this extra protection when I pack my camera really puts me at ease. As careful as I try to be travelling with camera gear isn't always uneventful. I'm so happy I recieved a discount for this product for an honest review so I can get the larger one for my longer lens,8/9/2015
US,46341091,R20UM3FBGWNHP2,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,1,1,N,N,No More Wrapping Our Camera in Towels!,"My teenage daughter has become interested in photography. She saved her money last year and purchased her own camera. I bought her a case, but I found that she hasn't been using it because it's too bulky. So when the Indigo Marble Protective Camera Cover was available during a recent promotion, I couldn't wait to order it! When it first arrived, she wasn't quite sure what to think of it. Then I explained what it was and how it worked. The look on her face when she &#34;got it&#34; was priceless! Since she doesn't like using her case, she has been wrapping her camera up in a small towel when she takes it places. This wrap is way better than using a towel! First of all, the material is designed for use with cameras and equipment so it's not going to scratch or harm it. The Velcro corners keep it wrapped in place. The pad is even water proof so you can set the camera safely on moist ground. My daughter absolutely loves it!<br /><br />I purchased this camera cover at a discount in exchange for my honest opinion.",8/3/2015
US,47866648,R3VT5R21JY54PM,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,0,0,N,N,This product seems so simple but it's really perfect for our on the go needs,"This product seems so simple but it's really perfect for our on the go needs.  We don't always use a dedicated camera bag and so this is the perfect way to make sure that the camera is still protected in whatever bag it ends up in, or even just while sitting in the car or stroller, etc.  the material is soft but thick and sturdy - I could actually see using this wrap for many things besides my camera and plan to buy another for my tablet.  It's great cushioning for a suitcase or a carryon bag. the warp is generously sized for my needs and folds up in a very small manner so it's easy to tote along when you are using the camera.  I received this discounted as part of a promotion but was very happy to do so as this has been one of the most simple but useful products I have purchased for my camera.",8/2/2015
US,32038204,R15ZVL6E9Z09ZP,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,3,3,N,N,Padded Carrying for Equipment Without Their Own Special Cases,"[[VIDEOID:88549012b532b8a3b5bb257f15208938]]Simple idea done well.<br /><br />The medium is a perfect fit for my Canon VIXIA HF600 with BP-727 Extended Battery AND a still attached quick release mount.  For those who have camcorders or DLSR cameras that don't have their own special carrying case or such, this is the thing to buy instead.  I wish they had an even smaller version that I could wrap my Sony AS20 in - I have been using a small felt bag for it, but such things don't offer any kind of protective padding or cushioning.<br /><br />- Discounted product provided for evaluation, yet my thinking here reflects all my personal purchasing decision processes, and hopefully may help clarify if this best meets your own needs and expectations.",7/24/2015
US,29998914,R2WV44QEJOESTU,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,0,1,N,Y,"This is really nice, especially when you don't want to pack up ...","This is really nice, especially when you don't want to pack up your whole camera bag. I use it when I take my camera in the car with me. It protects it from scratches and dirt but also makes it less noticeable and less likely to be a target for thieves. It even fits with my longer lenses.",7/19/2015
US,51346302,RU1PZAOCKBOOY,B00XHRW9TI,477287065,"#1 Premium Medium Camera Cover from Indigo Marble, Wrap & Protect Electronic Equipment, Adjustable & Light Weight to Provide Quick Fit with SLR Straps or Slings, 15"" Square with Strong External Pocket",Camera,5,4,5,N,N,Quick access to my camera,"The lens I use most frequently with my Canon SLR is 17-85mm zoom lens, which makes my camera 6.6&#34; front to back and 5&#34; wide. I was not sure how well the small wrap would fit it so I got both the 15.3&#34; and 19.3&#34; wraps.  Turns out they both work.  The larger one provides more protection, the smaller one makes the whole package very compact as it just big enough to for my camera with this fairly large lens.<br /><br />The wrap provides me a quicker access to my camera than a camera case, so I like it when I am doing shooting in the rain or dust to keep the camera protected when I am not shooting.<br /><br />So which one do I use more often?  Turns out the small one on location, and I use the big one for cushioning when I travel.<br /><br />This photo wrap is provided by Indigo Marble.<br /><br />Ali Julia review.",7/10/2015
